Segment,Floor Start,Floor End,Species,Form,Level,Moves,Rate
0,10,11,munchlax,0,20,"tackle, amnesia, chip_away",10
0,10,11,larvitar,0,18,"screech, rock_slide",10
0,10,11,voltorb,0,20,"charge_beam, self_destruct",10
0,10,11,bronzor,0,20,"psywave, imprison",10
0,11,12,makuhita,0,18,"knock_off, arm_thrust",10
0,11,12,cubone,0,23,"rage, bone_club",10
0,11,12,murkrow,0,18,"pursuit, wing_attack, assurance",10
0,12,13,baltoy,0,19,"cosmic_power, heal_block, mud_slap",10
0,12,13,magikarp,0,14,"splash, tackle",10
0,12,13,bagon,0,20,"focus_energy, rage, headbutt",10
0,12,13,phanpy,0,22,"rollout, slam",10
0,12,13,absol,0,20,razor_wind,10
0,12,13,clefairy,0,22,"follow_me, pound, minimize",10
0,12,13,dunsparce,0,22,"spite, screech, ancient_power",10
0,12,13,wooper,0,24,"mud_shot, slam, amnesia",10
0,12,13,sudowoodo,0,24,"block, rock_slide, mimic",10
0,13,14,spinarak,0,25,"night_shade, spider_web",10
0,13,14,luxio,0,22,"spark, charge",10
0,13,14,natu,0,25,"teleport, future_sight",10
0,13,14,numel,0,22,flame_burst,10
0,13,14,onix,0,24,"rock_tomb, rock_slide",10
0,13,14,smoochum,0,23,"sweet_kiss, powder_snow",10
0,14,15,kecleon,0,25,"thief, shadow_sneak",10
0,14,15,misdreavus,0,25,"spite, astonish, pain_split",10
0,13,14,hitmonchan,0,23,"focus_punch, foresight",10
0,13,14,vulpix,1,25,icy_wind,10
0,15,16,vulpix,0,28,"ember, hex",10
0,15,16,nosepass,0,21,"power_gem, discharge",10
0,15,16,slugma,0,23,"incinerate, harden",10
0,15,16,flareon,0,23,fire_fang,10
0,16,17,lickilicky,0,24,"rollout, power_whip, wring_out, wrap",10
0,16,17,probopass,0,26,"magnet_bomb, magnet_rise, earth_power",10
0,16,17,shuppet,0,25,"curse, night_shade",10
0,16,17,flareon,0,26,"fire_spin, last_resort",10
0,16,17,claydol,0,28,"psybeam, ancient_power, teleport",10
0,17,18,hitmonlee,0,27,"wide_guard, high_jump_kick",10
0,17,18,koffing,0,27,"clear_smog, self_destruct",10
0,17,18,magcargo,0,25,"lava_plume, earth_power",10
0,18,19,absol,0,28,"swords_dance, night_slash, psycho_cut",10
0,18,19,mawile,0,27,"crunch, iron_head, fake_tears",10
0,18,19,charizard,0,45,"fire_blast, wing_attack",10
0,18,19,hariyama,0,30,"force_palm, brine",10
0,19,20,swalot,0,32,"sludge_bomb, acid_armor",10
0,20,21,chimecho,0,30,"heal_bell, yawn, confusion",10
0,20,21,shedinja,0,35,"spite, fury_cutter, phantom_force",10
0,20,21,jigglypuff,0,35,"sing, rest",10
0,20,21,banette,0,32,"grudge, shadow_sneak",10
0,20,24,hypno,0,33,"nightmare, confusion, switcheroo",10
0,20,22,spiritomb,0,32,"hypnosis, dream_eater",10
0,21,22,pidgeotto,0,34,"mirror_move, wing_attack",10
0,21,22,snorunt,0,33,"icy_wind, powder_snow",10
0,21,22,sneasel,0,35,"agility, icy_wind, feint_attack",10
0,20,21,mismagius,0,33,"mystical_fire, lucky_chant",10
0,20,21,kecleon,0,33,"thief, shadow_sneak, synchronoise",10
0,21,22,persian,0,33,"switcheroo, feint_attack, swift",10
0,22,23,jolteon,0,35,"thunder_wave, agility, pin_missile",10
0,22,23,dustox,0,34,"toxic, moonlight, bug_buzz",10
0,22,23,beautifly,0,34,"attract, quiver_dance, giga_drain, silver_wind",10
0,22,23,ninjask,0,38,"swords_dance, slash",10
0,23,24,umbreon,0,36,"mean_look, feint_attack",10
0,23,24,mightyena,0,37,"roar, thief, embargo",10
0,23,24,piloswine,0,38,"ice_fang, fury_attack, take_down",10
0,23,24,electrode,0,38,"rollout, self_destruct, light_screen",10
0,23,25,delibird,0,39,present,10
0,23,24,marowak,0,37,"bonemerang, bone_rush, retaliate",10
0,24,25,cloyster,0,36,"protect, spike_cannon, spikes",10
0,24,25,froslass,0,36,"destiny_bond, ice_beam",10
0,23,25,weezing,0,50,"destiny_bond, explosion",10
0,24,26,parasect,0,38,"rage_powder, spore",10
0,25,26,lumineon,0,38,"silver_wind, u_turn, captivate",10
0,25,26,espeon,0,35,"psychic, morning_sun",10
0,25,27,blastoise,0,40,hydro_pump,10
0,25,27,gallade,0,40,"wide_guard, psycho_cut, teleport, swords_dance",10
0,25,27,gardevoir,0,40,"psychic, wish, moonblast",10
0,25,28,bronzong,0,42,"sunny_day, rain_dance, imprison, gyro_ball",10
0,25,27,chimecho,0,40,"healing_wish, yawn, wrap",10
0,25,26,slaking,0,45,"hammer_arm, encore, slack_off",10
0,25,27,weavile,0,38,"beat_up, snatch, night_slash, ice_punch",10
0,27,30,raichu,0,41,thunder,10
0,27,30,vaporeon,0,39,"aqua_ring, water_gun, rain_dance",10
0,27,30,roserade,0,43,"weather_ball, aromatherapy, magical_leaf",10
0,28,30,pidgeot,0,42,"sky_attack, air_slash, hurricane",10
0,28,30,ninetales,0,46,"safeguard, flamethrower, imprison",10
0,29,30,venusaur,0,48,"solar_beam, sleep_powder",10
0,29,30,cherrim,0,47,"petal_dance, helping_hand, sunny_day",10
0,29,30,flygon,0,50,"earthquake, dragon_tail",10
